"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","ventes de produits","crédits d'expédition","crédits sur l'emballage cadeau","Rabais promotionnels","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"12 mai 2016 15:36:18 UTC+00:00","6744996172","Frais de stock Expédié par Amazon","","","Frais de disposition Expédié par Amazon ","","","","","","","0","0","0","0","0","0","0","-0,30","-0,30"
"12 mai 2016 18:28:11 UTC+00:00","6744996172","Commande","171-0519812-4818750","183A-FR-FBA","Amorus Rechargeable 61 touches Silicon flexible Roll Up MIDI Piano Design électronique pour les débutants et les enfants","1","amazon.fr","Amazon","cergy","","95000","54,99","0","0","0","-6,60","-3,70","0","0","44,69"
"13 mai 2016 07:11:13 UTC+00:00","6744996172","Commande","404-3797272-7509141","masquealicefr-noir-m","Masque couvert toute la face de plonger, antibuée,antifuite, avec support de montage pour GoPro Xiaomi Yi Sport Caméra d'Action","1","amazon.fr","Vendeur","Ceaulmont","","36200","45,99","4,00","0","0","-7,50","0","0","0","42,49"
"13 mai 2016 07:41:34 UTC+00:00","6744996172","Commande","403-0747779-4275519","342A-FR-FBA","Perche Monopode, Amorus® Perche de Selfie stick sans fil Bluetooth monopode pour iPhone 6/6 Plus, Samsung Galaxy S6 / S6 Bord / Note 4, Gopro Hero / H","1","amazon.fr","Amazon","Chartres","","28000","15,99","0","0","0","-1,92","-2,38","0","0","11,69"
"13 mai 2016 08:30:17 UTC+00:00","6744996172","Commande","403-0406364-8121140","MO5-FR-Green-FBA","Amorus® Sacoches de selle étanches avec Signal de tour LED clignotants télécommande sans fil émetteur (vert)","1","amazon.fr","Amazon","Villiers Le Mahieu","","78770","29,99","0","0","0","-4,50","-2,74","0","0","22,75"
"13 mai 2016 08:35:15 UTC+00:00","6744996172","Commande","403-6400652-8700359","392A-FR","Amorus® Haut-parleur portable en lévitation dans l'air Bluetooth avec Mic et NFC pour iPhone 6/6 Plus, mini iPad 3/2/1, iPad Air 2/1, Samsung Galaxy S","1","amazon.fr","Amazon","Rosporden","","29140","99,99","0","0","0","-7,00","-3,83","0","0","89,16"
"13 mai 2016 12:15:52 UTC+00:00","6744996172","Commande","171-1930214-4185911","183A-FR-FBA","Amorus Rechargeable 61 touches Silicon flexible Roll Up MIDI Piano Design électronique pour les débutants et les enfants","1","amazon.fr","Amazon","St Jacques Sur Darnetal","","76160","54,99","0","0","0","-6,60","-3,70","0","0","44,69"
"13 mai 2016 12:47:31 UTC+00:00","6744996172","Commande","404-4515424-4945948","565A-FR-FBA","Amorus® Eye Protection contrôle tactile lit LED lampe Super faible rayonnement / faible lumière bleue / aucun écran d'éclaboussure / 3 Modes/ 6-niveau","1","amazon.fr","Amazon","Pierrelatte","","26700","43,99","0","0","0","-6,60","-3,50","0","0","33,89"
"13 mai 2016 16:29:00 UTC+00:00","6744996172","Commande","S02-8956754-3898118","AC-ADAPTER","Bloc d'alimentation adaptateur secteur 12V 2A","1","si-prod-fr-marketplace.stores.amazon.fr","Amazon","Rosporden","","29140","0","0","0","0","0","-1,80","0","0","-1,80"
"13 mai 2016 16:29:00 UTC+00:00","6744996172","Commande","S02-8956754-3898118","","Frais de transport FBA","","si-prod-fr-marketplace.stores.amazon.fr","Amazon","Rosporden","","29140","0","0","0","0","0","0","0","-3,40","-3,40"
